drug_key,generic_name,brand_names,category,color,uses,dosage,side_effects,warn_pregnancy,warn_liver,warn_kidney,interactions
levothyroxine,Levothyroxine,"Synthroid,Eltroxin,Thyronorm",Thyroid Hormone,#0f766e,"Replaces thyroid hormone in hypothyroidism (underactive thyroid).","25–200mcg once daily, 30–60 minutes before breakfast on empty stomach.","Heart palpitations (excess dose),Anxiety,Weight loss,Insomnia",False,False,False,"calcium,iron,antacids,warfarin,simvastatin"
hydroxychloroquine,Hydroxychloroquine,"Plaquenil,HCQs",Antimalarial / DMARD,#0d9488,"Treats malaria, lupus, and rheumatoid arthritis.","200–400mg once daily with food.","Nausea,Skin rash,Retinal toxicity (long-term),Headache",False,False,True,"digoxin,amiodarone,insulin,antacids"
allopurinol,Allopurinol,"Zyloprim,Zyloric",Antigout,#166534,"Reduces uric acid levels to prevent gout attacks and kidney stones.","100–300mg once daily after meals.","Skin rash (can be severe: SJS),Nausea,Liver changes,Kidney changes",False,True,True,"warfarin,azathioprine,ampicillin,diuretics"
colchicine,Colchicine,"Colcrys,Zycolchin",Antigout,#14532d,"Treats acute gout attacks and prevents their recurrence.","1.2mg at onset, then 0.6mg 1 hour later. Then 0.6mg daily to prevent.","Diarrhea,Nausea,Abdominal pain,Muscle toxicity (overdose)",False,True,True,"clarithromycin,cyclosporine,statins,verapamil"
folic acid,Folic Acid,"Folvite,Folacin",Vitamin / Supplement,#15803d,"Prevents neural tube defects in pregnancy. Treats folic acid deficiency anemia.","400mcg daily for prevention; 1–5mg daily for treatment.","Generally very well tolerated,Rare: allergic reaction",False,False,False,"phenytoin,methotrexate,sulfasalazine"
vitamin d,Vitamin D3 (Cholecalciferol),"Calcirol,D-Rise,Uprise",Vitamin / Supplement,#16a34a,"Treats and prevents vitamin D deficiency. Supports bone health and immune function.","600–2000 IU daily for maintenance. Higher doses under doctor supervision.","Toxicity in overdose: nausea, weakness, kidney damage",False,False,True,"thiazide diuretics,digoxin,orlistat"
calcium,Calcium Carbonate / Citrate,"CalciMax,Shelcal,Tums",Mineral Supplement,#166534,"Treats calcium deficiency. Prevents osteoporosis. Relieves acid indigestion.","500–1200mg daily in divided doses with meals.","Constipation,Gas,Kidney stones (high doses)",False,False,True,"levothyroxine,iron,fluoroquinolones,bisphosphonates"
isotretinoin,Isotretinoin,"Accutane,Roaccutane,Isotret",Retinoid (Acne),#ca8a04,"Treats severe acne that hasn't responded to other treatments.","0.5–1mg/kg/day for 4–6 months. Take with fatty meal.","Very dry lips/skin,Elevated triglycerides,Liver stress,Severe birth defects",True,True,False,"tetracyclines,vitamin A,oral contraceptives,methotrexate"
hydrocortisone,Hydrocortisone,"Cortef,Solu-Cortef",Corticosteroid (Systemic),#115e59,"Treats adrenal insufficiency, severe allergies, and inflammatory conditions.","20–30mg daily in divided doses (replacement). Higher doses for emergencies.","Weight gain,High blood sugar,Hypertension,Immune suppression,Bone loss",False,False,False,"NSAIDs,warfarin,insulin,vaccines,furosemide"
levodopa,Levodopa + Carbidopa,"Sinemet,Syndopa,Tidomet",Antiparkinson,#1e3a8a,"Treats Parkinson's disease by converting to dopamine in the brain.","100/25mg three times daily. Dose titrated up gradually.","Nausea,Dyskinesia,Hallucinations,On/off fluctuations,Low blood pressure",True,False,False,"MAOIs,antipsychotics,iron supplements,metoclopramide"
